"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Ginseng Root, USA, Korean","American: Panax Quinquefolia. Asian: P. Ginseng","cure all, eyes,headache,back pain,pimples,glands","Cure-all¤Resistance vs stress, mental & physical.¤Slow aging process¤aphrodisiac¤Digestive, glands, vitality, hormones¤ American: Blood suger reg., adrenal stim, Appetite, ¤anti-spasm, fever, fatigue, infertility, insomnia, ¤anti-tension¤  Korean: high blood pressure, cholesterol, ¤anti-inflamatory, fertility, heart, prostate, ¤radioprotective, thyroid","root or bark from tree","Asia, America","","","","Herb"
"GoldenSeal","Hydrastis Canadensis","numerous ailments,blood vessels, anti-bacterial","Remedy vs ailments: bladder infections, bronchitis, ¤cankers, coughs, colds, earaches, inflammation, mouth ¤sore, mucous membranes, nasal passages, eyes, ulcers, ¤digestion, diarrhea, dysentery, stomach,  and more.¤candida (douche), antibacterial/viral/fungal, liver, ¤menstrual, vaginitis, yeast infection¤pneumonia¤sties,parasites, skin, blood pressure (high), asthma, eye, ¤ear,tinnitus","","","expensive herb","none","","Herb"
"Gota Kola (Gotu Kola)","Centella Asiatica, Hydrocotyle Asiatica","brain, memory, eyes, female tonic","Stimulates circulation to brain.¤Excellant nerve tonic.¤Increases learning ability.¤skin, bed sores, boils, cellulite, diabetes¤edema, erysepilas, fatigue, phlebitis¤female tonic, heart, hemorrhoids, infection¤pregnancy lesions, skin, ulcer, sores, eyes¤Connective tissue healing¤circulatory problems, varicose veins","","India","Called the "memory herb"","none","","Herb"
"Green Barley","Hordeum Distichon","nutrition, antioxidant, diabetes","Extremely nutritious.¤Excellent antioxidant.¤Twice fiber of Oat Bran, 12 times more chlorophyll.¤Can help anything in body that needs help.¤diabetes, bladder, chest¤energy, immunity","","","","none","","Herb"
"Hawthorn","Crataegus, various species","heart, insomnia, gums, blood, allergies, stress","Strengthen & regulate heart, heart defects/diseases¤Good for vs stress.¤Treats high and low blood pressure.¤Reliefes insomnia¤circulation, vascular problems, angina, arteriosclerosis, ¤cholesterol; insomnia¤diarrhea, digestion, dyspepsia¤hypertension¤allergies","fruit of a shrub","England","","none; large dose may produce dizziness","3-15 grains, 3-4Xs/day","Herb"
"Hops","Humulus Lupulus","Insomnia, vs alcohol, liver, nerves, lactation","Good vs insomnia.¤Produce sleep when nothing else will.¤Decrease desire for alcohol.¤Will tone liver, bowel inflamation¤climacteric disorders, lactation¤anaphrodesiac, nerves¤anxiety, appetite loss, diuretic, digestion, inflamation","flower of vine","","","none","","Herb"
"Horsetail (Shavegrass)","Equisetum Arvense","minerals, fingernails, hair, bones, glands, kidney","Strong fingernails and hair; good vs split ends.¤Fractured bones heal faster, ligaments, cartilage.¤osteoporosis¤Good for eyes, ears, nose, throat, and glandular orders¤atheroscerosis, anemia, arterioscerosis¤diuretic, ulcers, urinary stones, kidney¤immune system, lungs, prostate, skin","","","rich in minerals, especially silica","none","","Herb"
"He-Shou-Wu (Fo-Ti)","Polygonum Multiflorum","liver, kidney, energy booster, hair","Excellent rejuvenator.¤Strengthens liver and kidneys, bladder, blood¤rapid energy booster¤eyes, hair, nerves¤vertigo, insomnia, lumbago, constipation¤high blood pressure, hardening of veins and arteries","","China","The Oriental Elixir Of Life","none","","Herb"
"Kava Kava Root","Piper Methysticum","sleep, nervousness, sedative, headache, pain","Induce sleep, help calm nervousness¤headaches¤relaxation¤pain relief","","","usefull as a tea","","","Herb"
"Kelp","Laminaria, various species","iodine, infection, hair, nails, diuretic, vitamins","High content of natural plant iodine for propper function ¤of thyroid; fights infection.¤Has high levels of calcium, potassium, magnesium, vitamins¤Excellent for (falling) hair & nails¤skin (wrinkles, sagging)¤acne, arthritis, bones, diabetes, heart, cleanses arteries¤reproductive organs, prostate¤indigestion, colon cleanser, anemia, brain","seaweed","sea coasts","","none","10 grains.  Tea: 1oz kelp/1 pint hot water","Herb"
"Lecithin","","cholesterol, nervous system, kidney","Breaks up cholesterol, allowing it to pass thru arterial ¤walls, preventing arteriosclerosis.¤Promotes healthy nervous system.¤Cleanse and purify kidneys.","","","high in phosphorus; 2 B-factors, choline, inositol","none","","Amino Acid"
"Licorice Root","Glycyrrhiza Glabra","laxative,heart,circulatory,throat,allergy,cankers","Mild laxative¤Strengthen heart & circulatory system¤Put vitality into body¤sore throat,Throat & injured throat muscles;arthritis¤infections,Pneumonia,TB¤teeth¤blood sugar,bronchitis,cirrhosis,hypoglycemia,asthma¤adrenal stim,imetigo¤antibacterial/fungal/viral,constipation,cough¤digestion,protect liver,skin,stomach,kidney,heartburn¤psoriasis,shingles¤female tonic,menopause¤baldness¤anti-inflamatory,ulcer¤antidepressant¤gout¤HIV,prostate¤Quit smoking","","","may be used as non-sugar sweatener","excessive use: headaches, lethargy","","Herb"
"Milk Thistle Herb","Silybum Marianum","liver,PMS,detox,blood,veins,menstrual,psoriasis","***Excellent liver detoxifier, purififies liver from ¤alcohol and other pollutants.¤spleen, Protects from hardening of liver.¤blood detox., cholesterol, cholalogue¤chest, kidney, gall bladder, hepatitis, hepatoprotective, ¤stomach, gall stones¤jaundice, laxative, uterine¤menstrual, psoriasis, varicose veins¤spondylosis-induced lower back pain¤skin, psoriasis","","","Silymarin is a milk thistle extraxt","none","","Herb"
"Myrrh Gum","Commiphora, various species","colon, digestive, bad breath, sinus, teeth, gums","Cleans colon; brings order to digestive system.¤Removes bad breath.¤Good vs sinus problems.¤teeth, gum infections, sore throat¤asthma¤broad specxtrum antibacterial, antiviral, antiseptic¤canker sore","","","","none","","Herb"
"Nettle Leaf","Urtica Dioica","kidney,weight loss,fever/cold,dandruff,hair,blood","Excellent remedy for kidney problems.¤In combo with seawrack brings weight loss¤In tea is good vs fevers & colds.¤Remedy for dandruff.¤Enhance natural color of hair.¤prostate, blood sugar, allergies, rhinitis, anemia, ¤arthritis, diuretic, gout, inflamation, lactation, ¤lumbago, menstrual,sciatica, sinus, styptic, tendonitis¤wound heal/cleanser","","","","none","","Herb"
"Garlic","Allium Sativum","detoxify,blood,rejuvenates,asthma,colds,cuts,virus","broad Antobiotic.¤ulcers¤stroke¤Detoxifies & rejuvenates everything in body.¤blood clotting,blood sugar reg.,cholesterol,circulation¤Raynaud's Disease,blood pressure¤sinus,bronchitis,anti-cancer,antibiotic,antiviral¤digestion,dysentery,expectorant,diuretic¤flu,gastritis,liver,menstrual cramps,pneumonia,TB¤thrombosis,worms,heart,allergy¤altitude sickness¤throat¤external: athlete's foot,antifungal,burns,pain, vaginitis ¤(douche twice/day), yeast infections.¤mastitis,ear¤headache¤HIV,Lymes,sty","","","has vitamins A, C, D, selenium, iron, & more","none","","Herb"
"Passion Flower (Maypops)","Passiflora Incarnata","sedative, blood pressure, alcoholism, nerves","Mild sedative, relieves tensions.¤insomnia, hysteria¤Calms nerves, high blood pressure.¤fevers¤Deterrent for alcoholism¤analgesic, anti-convulsant/spasm¤asthma, hemorrhoids, inflamation¤pain in nerves, headaches¤menopause¤alertness, parturition¤eyes, skin¤Parkinson's Disease","vine;dried flower,fruiting top","","","none","10-20 drops fluid extract, or 3 grains 2Xs/day","Herb"
"Psyllium, Indian (Isphaghula)","Plantago Ovata","colon, intestines, weight loss","One of best colon cleanser.¤Lubricant to intestinal tract.¤Removes putrefactive toxins from intestines.¤constipation, diarrhea, digestion, diverticulitis, bowels¤hemorrhoids (take w/ enough fluids)¤weight loss","seed of a Plantain species","","also called: Bond Psyllium","none","","Herb"
"Red Clover","Trifolium Pratense","blood,skin,acne,entire system,eyes,menopause","Body's entire system benefits.¤Purifies blood.¤Cures acne and other skin problems.¤bronchial, whooping cough, gastric trouble, ulcers¤eyes¤menopause, raises estrogen levels¤menstrual cramps¤Tobacco substitute for smoking","","","","none","","Herb"
"Sarsaparilla Root","Smilax, various species","Rheumatism,gout,diuretic,hormones,hair,poison,eye","Remedy for Rheumatism & gout, ringworm, blood purifier¤Diuretic, colds, fever, makes persperation when taken hot¤Balances female and male hormones.¤Acts as male hormone, testosterone.¤aphrodisiac¤Scrofula, skin¤Hair growth hormone, acne, skin¤arthritis, ain (head, joints)¤strong poion antidote¤eyewash, gas","root of evergreen shrub","","","none; root may be mixed w/ food","1oz root boiled in 1 pint hot water once/2hr","Herb"
"Saw Palmetto Berry","Serenoa Repens, Seronoa Serrulata, Sabal Serrulata","prostate,sexual,nutrition,mentrual,mammary,glands","excellent for Prostate health¤bronchitis,catarrhal condition,tuberculosis¤high cholesterol¤anti-inflamatory¤appetite loss¤asthma,colds,digestion,enuresis,expectorant¤menstrual,ovarian,obesity,nycturia,spastic colon¤sterility,testical atrophy¤thyroid deficiency¤weight loss,muscle strength¤female aphrodisiac¤increase function & size of mammary glands¤testes function¤baldness","berries of plant","SE USA","","none","1tsp 3Xs/day. Tea:1oz berries in 1/2pint hot water","Herb"
"Seawrack (Bladderwrack)","Fucus Vesiculosus","obesity, glandular","One of best to combat obesity.¤Effects on glandular afflictions","","","It's a form of seaweed","none","","Herb"
"Slippery Elm (american elm)","Ulmus Fulva, Ulmus Rubra","colon,bowel,kidney,digestive,lung,eye pain,food","throat,coughs¤normalize bowel movement (diarrehea,constipation).¤Hemorroids, skin¤cleanse colon; digestion.¤Kidney,stomach,bowels,enema,vaginal douche (inflamed ¤vagina)¤Food(ground into cereal w/ milk)- weakness, bleeding ¤lungs,bronchitis,tuberculosis;baby food¤Lung pains.¤Eases eye pain¤Adds healing of irritated & inflamed tissues, emollient","bark of tree","","poultice maybe used on burns, boils, ulcers,wounds","none","","Herb"
"Spikenard","Aralia Racemosa","skin, cough, chest, colds","good vs skin ailments: acne, pimples, blackheads, rashes, ¤general skin problems.¤used vs coughs, colds, chest afflictions","","","","none","","Herb"
"St. John's Wort","Hypericum Perforatum","blood,tumors,boils,menstruation,uterine,wounds","Blood purifies.¤Good vs tumors and boils.¤Good vs chronic uterine problems.¤insomnia, nervous disorders, bedwetting.¤Help correct irregular menstruation.¤flu, asthma, burns, bruises, depression¤Antidepressant, hyperthyroidism¤Parkinson's, HIV¤Externally: bruises, burns, cuts, wounds,herpes,scabies¤As external oil speeds healing of labor scars","bright yellow flowers","","","it's an MAO inhibitor; avoid if pregnant","","Herb"
"Thyme","Thymus Vulgaris","mucus, infection, migraines, chest, lungs, sties","Removes mucus from head, lungs, respiratory passages.¤Fights infection.¤Relieves migraines (as a tea).¤Amenorrhea, body odor¤Sties (apply direct)","","","","none","","Herb"
"Valerian Root","Valeriana Officinalis","nervous system,circulatory,sedative,asthma,acne","Healing effect on nervous system.¤Quieting and calming. Head. migraine, insomnia¤Good vs entire circulatory system.¤Mild sedative; may promote sleep if taken as a tea¤Acne, childhood diseases, digestive, nervous, pain, ulcers¤arthritis¤Arrhythmias, palpitations, heart¤lowers blood pressure, increased blood flow to heart¤Muscle spasms in bowels","","","may be used in a tea; smells pretty foul","none","","Herb"
"Verain","","fevers, colds, phlegm, worms, wheezing","Remedy vs fevers.¤Clear cold overnight.¤Expells phlegm from throat & chest.¤Expell worms when all else fails.¤Excellent for shortness of breath and wheezing","","","","some in excessive quantities.","","Herb"
"Wild Yam Root","Dioscorea Villosa","relaxing, gas, nerves, liver","Relaxing and soothing to nerves.¤Expel gas from stomach and bowels¤liver¤rheumatism, asthma¤As a salve: breast enlargement, vaginal dryness¤diverticulitis","","North America","","none","","FruitVeggy"
"Yellow Dock Root(Bitter Dock)","Rumex Crispus","blood, skin, bones, vaginitis","Blood purifier.¤Good to all skin problems¤Helps tone entire system; energy.¤bones¤liver¤vaginitis","","","Also called: Curly Dock, Curled Dock","none","","Herb"
"Yohimbe","Pausinystalia Yohimbre","potent aphrodisiac, circulation, dry mouth","natural aphrodisiac for men and women; erection problems¤circulation¤dry mouth","","","","anxiety, high blood pressure, heart rate","","Herb"
"Yucca Root","Yucca Glauca","joints, hair/scalp, glands, liver","Reduces inflammation of joints; helpful vs arthritis and ¤rheumatism.¤Excellent hair and scalp treatment.¤glands, liver","creamy white flowers in towering spikes","","roots used in shampoos","none","in hair: chop root, soak in water, stir to lather","Herb"
"Sheep Sorel","Rumex Acetosella","kidney, inflammation, cancer, fever","Remedy vs kidney trouble.¤Expels gravel from kidney.¤fever, inflammation, diarrhea, excessive menstruation¤cancer","leaves of the plant","","","none","","Herb"
"Walnut (Black, White)","Juglans, various species","parasites, worms, boils, skin, venereal, glands","lowers cholesterol¤weight loss¤hypothyroidism, glandular disorders¤Black Walnut: Boils, cold sores, skin rash, teeth¤Diarrhea, Ecaema, parasites, ringworm, worms.¤Venereal disease¤¤White Walnut: liver¤Walnut husk (external): anti-fungal¤Mites (simmer in water until 1/2 evaporated and use liquid)¤¤Walnut Leaves (make as a tea and apply): mild skin ¤inflammations","","","","none","","Herb"
"Star Anise","Illicium Verum","Rheumatism, digestive dissorders, diuretic","Rheumatism, Lumbago.¤Stimulant¤Diuretic¤Digestive disorders, gas¤External Oil: antiseptic, insect repellant, scabies","","","","","","Herb"
"Cloves","Syzygium Aromaticum","teeth, nausea, abdominal, pain, kidney, saliva","Externally: pain of toothache,rheumatism,lumbago,muscle ¤cramps,nerves,bunions,antiseptic.¤¤Colds/flu,Nausea,vomiting,diarrhea,abdominal pain, worms¤stomach,bowels,gas¤Chest pain,spasms,anti-inflamatory¤digestion¤blood circulation¤bad breath¤Stimulate & disinfect kidney,skin,liver,bronchial mucous ¤membrane¤saliva flow,gastric juices¤altitude sickness¤eyes","clove trees","Indonesia, Zanzibar, Pamba","as tea for nausea & vomiting","it's a blood thinner","Tea: 1tsp per 1 cup water","Herb"
"Chamomile (Camomile)","Matricaria Recutita","Appetite,drug,digestive,teeth,gas,calming,allergy","Appetite,Asthma,Bladder,Bleeding¤Blood Impurities,Bronchitis,analgesic¤Colds,Colic,Colitis,Colon,Cramps¤Digestive Disorder, Dizziness,Drug Withdrawal,Earache ¤Gas,Headache,Hemorrhoid,Inflammation,Insomnia¤heartburn¤Jaundice,Kidney,Migraine¤Nervous Disorder,Pain,Parasites¤Spleen,Swelling,toothache,gums¤skin,abrasions,exanthemas¤antiseptic,menstrual,ulcers¤fungus¤External: psoriasis, skin, sores, sties","","","often used as a tea","","","Herb"
"Agnus Castus","","Female problems","Birth Process¤Amenorrhea, Dysmenorrhea, Endometriosis¤Menopause, Menstrual problems, PMS","","","","","","Herb"
"Artichoke","Cynara Scolymus","cholesterol, diuretic, kidney/liver","atherosclerosis, bile secretions, cholesterol reg.¤arteriosclerosis¤diuretic¤kidney/liver disorders¤proteinuria","standard artichokes","anywhere","","none","","FruitVeggy"
"Butcher's Broom","Ruscus Aculeatus","anal, circulation, hemorrhoid, female, vascular","Astringent, circulation, anal fissures, diabetes, diabetic ¤retinopathy, heart, hemorrhages, hemorrhoid, menstrual¤post thrombotic syndrome, pregnancy cramps¤proctitis, proctology, anal itch, retinal disturbance¤skin, lungs¤varicose veins, vascular disorder","","","","none","","Herb"
"Devil's Claw","Harpagophytum Procumbens","digestion system, indigestion, lower back, blood","blood sugar¤analgesic, anti-spasmodic¤arthritis, rheumatism¤digestion, dyspepsia, edema¤gall bladder, gout, kidney, liver¤immune system, swelling¤spondylosis-induced lower back pain¤water retention","","","","","","Herb"
"Echinacea (Purple Coneflower)","Echinacea, various species","ear/eyes/nose/throat,blood,snakebite,urinary,gland","blood purify/detox¤boils,abcesses¤adrenal stim.¤allergies,colds/cough/flu/influenza,cortisol¤lymph glands;prostate¤edema,gangrene,sores¤anticancer¤sore/strep throat, laryngitis¤gums,immune system,infections¤anti-bacterial/biotic/viral/fungal,anti-cancer¤anti-inflamatory, sties¤anti-spasm,pain,sedative,skin, yeast infections¤snakebite¤tonsilitis,ulcer,vulnerary¤yeast infect¤nipple¤HIV, Lymes¤pneumonia","roots & rhizomes of shrub","America","one variety called: Missouri Snakeroot","none; stops working if taken too long","15 grains powder 2Xs/day w/water or juice","Herb"
"Ephedra, Chinese (Ma Huang)","Ephedra Sinica","circulation, stimulant, diuretic, energy, allergy","Bronchodilator, respiratory ailments¤chills, circulation¤allergies, appetite reducer, asthma, decongestant¤diuretic, enuresis¤hypotension¤pain relief, stimulant, urticaria¤kidney/bladder, lungs, ears","","China","best source of source of ephedrine","can raise blood pressure & cause jitters","Tea: 1/2tsp per cup hot water","Herb"
"Feverfew","Tanacetum Parthenium","fever, relaxant, digestion, migrane, arthritis","arthritis, asthma, emmenagogue, allergy¤depression, insomnia, restlessness, sedative¤digestion, nausea, vertigo, vomiting¤fever (acute)¤heart tonic, liver, spleen¤inflamation in arthritic joints, migraines, swelling¤menstrual problems¤chest, skin","","Chrysanthemum Parthenium","","Avoid during Pregnancy","","Herb"
"Grape Seed Extract","Vitis Vinifera","antioxidant, arterial disorders","capillary fragility, cerebral vascular¤vascular problems F/aging¤antioxidant¤diabetes, edema¤retinal, eyes¤varicose veins¤Oregon Creeping Grape: kidney","","","contains flavonoids","","","Herb"
"Green Tea Extract","Camellia Sinensis","blood, respiratory, antioxidant, cancer, strokes","high blood pressure, heart problem, cholesterol¤anti-cancer, antioxidant¤respiratory ailments¤anti-tumor¤deters strokes & infections¤tooth decay¤Helps oxidize fat","tea","China and others","","none","","Herb"
"Guarana","Paullinia Cupana","cholesterol, aphrodisiac, systemic cleanser","high cholesterol¤aphrodisiac¤appetite reducer, CNS stimulant¤diarrhea, digestion, fatigue, headache¤nervous tension, neuralgia¤pain, stimulant¤systemic cleanser","","Brazil","contains caffeine","","","Herb"
"Kola Nut","","stimulant","CNS stimulant¤fatigue","","","","","","Herb"
"Pygeum","Pygeum Africanum","incontinence/urination, prostate","prostate¤adematous fibrosclerosis¤dysuria¤incontinence¤nycturia, polyuria, proteinuria¤urination problems","","","","","","Herb"
"Reishi Mushroom","Ganoderma Lucidum","AIDS, blood, fatigue, adrenal, altitude sickness","high cholesterol, AIDS¤concentration, digestion, fatigue¤high altitude sickness, high blood pressure¤immune system, insomnia, lungs¤radioprotective¤allergy¤adrenal weakness¤altitude sickness¤heart tonic, improved blood flow to heart","","","","","","Herb"
"Chinese Health Factor","","long life","long life","","","","no use w/weak spleen,diarrhea,pregnancy","","Herb"
"Tropical Whiteweed","Ageratum Conyzoides","abdomen, eyes, uterus, skin, bleeding","abdomen and associated organs¤eyes¤Uterus/womb¤skin disease¤stops bleeding","pale blue flossy flower","Nepal, India","also called: Flossflower","","","Herb"
