From: SMG / InTouch Systems <pbielski@interramp.com>
Newsgroups: comp.sys.amiga.misc
Subject: Amiga Authorized Dealer List 03.20.96
Date: Thu, 21 Mar 1996 12:54:02 -0500
Organization: PSI Public Usenet Link
Lines: 236
Message-ID: <315197BA.7A49@interramp.com>
NNTP-Posting-Host: ip34.baltimore.md.interramp.com
Mime-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit
X-Mailer: Mozilla 2.0 (Win95; I)

Date:     March 20, 1996
To:       All - Please Distribute Widely
Subject:  Authorized Dealers as of March 20, 1996
From:     Service Management Group

This is the latest list of Authorized Dealers for Amiga products. 
Please check frequently for new dealers.

The Amiga Technologies warranty and the SMG extended warranty coverage
apply ONLY to systems purchased through SMG authorized dealers.  Be sure
your dealer is authorized BEFORE you purchase your system.

     Dealer Name                 City           State/Prov    Phone     New
Transdata Systems Co., Ltd.     Anaheim          CA  USA  714-630-8711
Connecting Point                Calabasas        CA  USA  818-222-3822
Visionsoft                      Carmel           CA  USA  408-626-2633
Computer Gates                  Costa Mesa       CA  USA  714-444-4232
Century Systems                 La Habra         CA  USA  310-697-6977
The Lively Computer             La Mesa          CA  USA  619-589-9455
HT Electronics                  Milpitas         CA  USA  408-934-7700
Applied Computer Systems        North Highlands  CA  USA  916-338-2000
TS Computers                    North Hollywood  CA  USA  818-760-4445
Alex Electronics                Paradise         CA  USA  916-872-0896
La Bine Productions             Rialto           CA  USA  909-355-9756
Wave Systems                    San Diego        CA  USA  619-495-9283
TGGH Inc.                       San Jose         CA  USA  408-977-7030
Sur-Tech                        Santa Clara      CA  USA  408-496-6664
Megagem                         Santa Maria      CA  USA  805-349-1104
Anti Gravity Products           Santa Monica     CA  USA  310-393-9747
Amiga Exchange                  Torrance         CA  USA  310-534-3187
Compuhelp Computers             Van Nuys         CA  USA  818-901-0280
The Computer Room               Aurora           CO  USA  303-696-8973
Davis Audio-Visual, Inc.        Denver           CO  USA  303-455-1122
Softown, Inc.                   Danbury          CT  USA  203-797-8080
Computer Source                 Fairfield        CT  USA  203-336-3100
Derrick Electronics             Hamden           CT  USA  203-248-7227
Videology                       Newtown          CT  USA  203-270-9000
Infotronics                     Woodbury         CT  USA  203-263-5350
DeVine Computer Sales           Newark           DE  USA  302-738-9046
Encore Computer Corporation     Ft. Lauderdale   FL  USA  954-587-2900  *
Eagle Computers & Video         Melbourne        FL  USA  407-951-9732
Harddrivers Co.                 Merrit Island    FL  USA  407-453-5805
Centennial Video Systems        Miami            FL  USA  305-633-2200
Creative Equipment, Intl.       Miami            FL  USA  305-266-2800
Miami Picture & Sound company   Miami            FL  USA  305-666-4055
Access Media Group              North Palm Beach FL  USA  407-845-2379
Computer Video Associates       Pinellas Park    FL  USA  813-576-5242
Apogee Technologies             Sarasota         FL  USA  813-355-6121
Discount Computer Sales         Sunrise          FL  USA  954-797-9402
Audio Video Design, Inc.        West Palm Beach  FL  USA  407-966-3565
Showcase Video                  Atlanta          GA  USA  404-325-7676
ACS Computer & Video            Norcross         GA  USA  770-263-9190
Hawkeye Communications          Coralville       IA  USA  319-354-3354
Computer Advantage              Des Moines       IA  USA  515-252-6167
Commodore Computer Center       Boise            ID  USA  208-342-3401
Maxximum Video Creations        Boise            ID  USA  208-322-3091
Blackrock Computers Plus        Pocatello        ID  USA  208-232-0012
Digital World                   Addison          IL  USA  708-543-9000
Trend Port U.S.                 Algonquin        IL  USA  708-854-9671
MicroTech Solutions             Aurora           IL  USA  708-851-3033
Micro-PACE, Inc.                Champaign        IL  USA  217-356-1884
Select Solutions                Champaign        IL  USA  800-322-1261
Ring Video Systems              Riverside        IL  USA  708-442-0009
Keyboard Studio                 Urbana           IL  USA  217-328-3975
Digital Arts                    Bloomington      IN  USA  812-330-0124
R.C. Instruments                Cicero           IN  USA  317-984-9400
CPU Inc.                        Indianapolis     IN  USA  317-577-3677
Desktop Video Systems           Lenexa           KS  USA  913-782-8888
Mission Electronics, Inc.       Lenexa           KS  USA  913-894-8480
Video Lab                       Shawnee          KS  USA  913-631-0045
Smith Audio Visual, Inc.        Topeka           KS  USA  913-235-3481
Icon Computers & Software       Bridgewater      MA  USA  508-697-6060
Crimson Tech                    Cambridge        MA  USA  617-868-5150
The Camera Company              Norwood          MA  USA  617-769-7810
EMH Systems                     Auburn           ME  USA  207-784-2048
Amiga Crossing                  Cumberland       ME  USA  207-829-3959
Thalner Electronic Labs         Ann Arbor        MI  USA  313-761-4506
Computer Link, Inc.             Garden City      MI  USA  313-522-6005
Slipped Disk                    Madison Heights  MI  USA  810-546-3475
Spectrum Computer Product       Prudenville      MI  USA  517-366-8569
Alpha Video                     Edina            MN  USA  800-388-0008
A/V Solutions                   St. Paul         MN  USA  612-698-1175
Raymond Commodore Amiga         St. Paul         MN  USA  612-642-9890
Valiant, Inc.                   Stillwater       MN  USA  612-439-6743
Data Grafix                     Springfield      MO  USA  417-882-1899
VIP Systems, Inc.               Chapel Hill      NC  USA  919-968-9477
Magic Page Products             Winston-Salem    NC  USA  910-785-3695
Amicom Computer Technology      Omaha            NE  USA  402-556-6160
System Eyes Computer Store      Merrimack        NH  USA  603-424-1188
Sir Render A/V                  Mays Landing     NJ  USA  609-625-0472
KBI Systems                     Mountainside     NJ  USA  908-654-3600
Integrated Teknologies, Inc.    Roselle          NJ  USA  908-245-1313
Amiga Lynx Network Co.          Saddle Brook     NJ  USA  201-368-0153
Electro-Tech                    Las Vegas        NV  USA  702-435-3201
Mystical Rose Software & System Buffalo          NY  USA  716-893-3632
The Microworks                  Buffalo          NY  USA  716-873-1856
Mr. Hardware                    Central Islip    NY  USA  516-234-8110
Microbyte Computers & Video     Churchville      NY  USA  716-293-3365
Area 52, Inc.                   Coram            NY  USA  516-476-1615
Amigo Business Computers        East Northport   NY  USA  516-757-7334
Better Concepts, Inc.           Garnerville      NY  USA  914-786-1711
Armato's Pro Video              Glendale         NY  USA  718-628-6800
Revels-Bey Music                Hempstead        NY  USA  516-565-9404
One Man and a Dream Productions Jamaica          NY  USA  917-427-8722
CTL Electronics                 New York         NY  USA  212-233-0754
Tri-State Camera, Inc.          New York         NY  USA  212-633-2290
Seismic Business Systems        Poughkeepsie     NY  USA  914-462-4518
T.J.'s Unlimited                Rochester        NY  USA  716-225-5810
Copperhead Technologies         Schenectady      NY  USA  518-346-3894
Tronix Micro Systems            Sloan            NY  USA  716-668-8176
Paxtron Corporation             Spring Valley    NY  USA  914-578-6522
Software Link, Inc.             White Plains     NY  USA  914-683-2512
Bartha Visual, Inc.             Columbus         OH  USA  614-291-4585
Compuquick Media Center         Columbus         OH  USA  614-235-1180
Neather Realm Software          Cuyahoga Falls   OH  USA  216-928-1738
Weingarten Gallery              Dayton           OH  USA  513-435-0134
B&J Video Systems               Findlay          OH  USA  419-424-0903
Industrial Video, Inc.          Lorain           OH  USA  216-233-4000
Penguin Music Store #3          Toledo           OH  USA  419-882-0961
Magix Computer Products         Tulsa            OK  USA  918-459-2500  *
Media Graphics & Design         Beaverton        OR  USA  503-649-0709
Clackamas Computers             Clackamas        OR  USA  503-650-0379
Magic Box, Inc.                 Corvallis        OR  USA  541-752-5654
Digital F/X, Inc.               North Bend       OR  USA  541-756-6693
SevMer Computer Systems         Portland         OR  USA  503-288-2016
Computer Users                  Springfield      OR  USA  541-726-8500
Computer Discount Center        Erie             PA  USA  814-899-6437
New York Camera & Video         Feasterville     PA  USA  215-322-9743
British Magazine Dist., Inc.    Hermitage        PA  USA  412-962-1218
The Lerro Corporation           Norristown       PA  USA  610-650-4100
CDR Systems                     Pittsburgh       PA  USA  412-351-1700
Mega Bytes                      Pittsburgh       PA  USA  412-653-9050
J&C Repair                      Rockton          PA  USA  814-583-5838
Electronic Connection           West Reading     PA  USA  610-372-1010
Kasara Microsystems             Hilton Head      SC  USA  803-842-5058
Via Video Interaction           Knoxville        TN  USA  423-687-4328
Opus 2 Audio & Video            Memphis          TN  USA  901-684-5467
Computer Ease                   Corpus Christi   TX  USA  512-882-2275
Metropolitan Computer Products  Dallas           TX  USA  214-702-9119
On Video, Inc.                  Dallas           TX  USA  214-406-9292
Microsearch                     Houston          TX  USA  713-988-2818
Computer Wise, Inc.             Logan            UT  USA  801-752-2500
Digitechnix                     Blue Ridge       VA  USA  540-982-1672
Dewberry's Computers & Supplies Danville         VA  USA  804-799-0502
HHH Enterprises                 Hartwood         VA  USA  540-752-2100
Whitlock Group, The             Richmond         VA  USA  804-273-9100
Spectral Multimedia, Inc.       Bellevue         WA  USA  206-451-4075
Amiga Northwest Studio          Bothell          WA  USA  206-488-5664
Computer Concepts               Bothell          WA  USA  206-481-3666
MS Digital                      Edmonds          WA  USA  206-742-7051
Tape Duplication Supply         Kent             WA  USA  206-852-1074
Productive Computer Systems     Kirkland         WA  USA  206-820-6440
Envision PC Consulting          Lynnwood         WA  USA  206-469-6775
Omni International Trading      Seattle          WA  USA  206-217-0607
Zipperware                      Seattle          WA  USA  206-223-1107
JW's Lil Shoppe                 Walla Walla      WA  USA  509-525-5582
Camera Corner, Inc.             Green Bay        WI  USA  414-435-5353
Images in Motion, Inc.          Waukesha         WI  USA  414-798-9400
Safe Harbor                     Waukesha         WI  USA  800-544-6599
Taylor Pro Audio / Video        Wauwatosa        WI  USA  414-778-0944
Computer & Supply Co., Inc.     Charleston       WV  USA  304-345-3490

Any of these dealers can process your Amiga order.  If your local dealer 
does not appear on the list, encourage them to sign up.

Dealer Sign-up:  Dealers can request an application by faxing their request
to the SMG at (410) 992-9979 or (410) 715-6859.  Make your request on company
letterhead.  Be sure to include your name, address, telephone and fax numbers.

Dealers can contact us via phone at (410) 715-6850,  via Fax at (410) 992-9979 
or (410) 715-6850,  via Internet email at pbielski@interramp.com, or  via 
CompuServe mail at 72060,3271.
